id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
270,1717,2024-11-27,Despejado,23.80,9.10,0.00,7.40,Noroeste
271,1717,2024-11-28,Despejado,25.00,10.50,0.00,8.30,Norte
272,1717,2024-11-29,Despejado,22.90,10.10,0.00,8.20,Noroeste
273,838,2024-11-26,Despejado,23.30,6.60,0.00,8.20,Norte
274,838,2024-11-27,Despejado,24.60,8.10,0.00,5.90,Norte
275,838,2024-11-28,Despejado,25.80,9.50,0.00,6.80,Norte
276,838,2024-11-29,Despejado,23.20,8.60,0.00,7.30,Norte
277,1426,2024-11-26,Despejado,28.70,11.70,0.00,7.70,Noreste
278,1426,2024-11-27,Despejado,27.20,11.50,0.00,6.10,Norte
279,1426,2024-11-28,Despejado,28.10,12.60,0.00,6.70,Norte
280,1426,2024-11-29,Despejado,29.10,13.50,0.00,7.60,Noreste
281,622,2024-11-26,Despejado,21.70,5.20,0.00,9.70,Norte
282,622,2024-11-27,Despejado,24.20,7.20,0.00,5.00,Norte
283,622,2024-11-28,Despejado,25.30,7.80,0.00,6.70,Norte
284,622,2024-11-29,Despejado,22.20,6.80,0.00,6.90,Norte
285,128,2024-11-26,Despejado,21.80,5.30,0.00,9.60,Norte
286,128,2024-11-27,Despejado,24.30,7.30,0.00,5.00,Norte
287,128,2024-11-28,Despejado,25.40,7.90,0.00,6.60,Norte
288,128,2024-11-29,Despejado,22.30,6.90,0.00,7.00,Norte
289,1767,2024-11-26,Despejado,23.00,5.90,0.00,9.30,Norte
290,1767,2024-11-27,Despejado,24.80,7.60,0.00,6.00,Norte
291,1767,2024-11-28,Despejado,26.00,8.90,0.00,6.90,Norte
292,1767,2024-11-29,Despejado,23.10,7.80,0.00,7.80,Norte
293,2133,2024-11-26,Despejado,23.30,5.70,0.00,10.00,Norte
294,2133,2024-11-27,Despejado,25.00,7.40,0.00,6.40,Norte
295,2133,2024-11-28,Despejado,26.30,8.70,0.00,7.40,Norte
296,2133,2024-11-29,Despejado,23.30,7.70,0.00,8.20,Norte
297,2049,2024-11-26,Despejado,23.70,6.50,0.00,8.80,Norte
298,2049,2024-11-27,Despejado,25.00,8.00,0.00,6.50,Norte
299,2049,2024-11-28,Despejado,26.20,9.60,0.00,7.30,Norte
300,2049,2024-11-29,Despejado,23.60,8.50,0.00,8.10,Norte
301,2361,2024-11-26,Despejado,19.00,4.50,0.00,8.10,Noreste
302,2317,2024-11-26,Despejado,19.00,4.50,0.00,8.10,Noreste
303,1513,2024-11-26,Despejado,19.00,4.50,0.00,8.10,Noreste
304,2361,2024-11-27,Despejado,23.30,7.10,0.00,4.20,Oeste
305,2317,2024-11-27,Despejado,23.30,7.10,0.00,4.20,Oeste
306,1513,2024-11-27,Despejado,23.30,7.10,0.00,4.20,Oeste
307,2361,2024-11-28,Despejado,24.00,5.90,0.00,8.50,Noreste
308,2317,2024-11-28,Despejado,24.00,5.90,0.00,8.50,Noreste
309,1513,2024-11-28,Despejado,24.00,5.90,0.00,8.50,Noreste
310,2361,2024-11-29,Despejado,20.70,5.40,0.00,5.00,Suroeste
311,2317,2024-11-29,Despejado,20.70,5.40,0.00,5.00,Suroeste
312,1513,2024-11-29,Despejado,20.70,5.40,0.00,5.00,Suroeste
313,1126,2024-11-26,Despejado,22.60,5.50,0.00,9.70,Norte
314,1126,2024-11-27,Despejado,24.60,7.30,0.00,5.60,Norte
315,1126,2024-11-28,Despejado,25.80,8.30,0.00,6.80,Norte
316,1126,2024-11-29,Despejado,22.80,7.30,0.00,7.60,Norte
317,398,2024-11-26,Despejado,22.90,5.60,0.00,9.50,Norte
