id_municipio,id_estado,nombre_municipio
872,9,San Antonio Cañada
873,8,Silacayoápam
874,2,Larráinzar
875,30,Yecapixtla
876,11,Erongarícuaro
877,2,Rincón Chamula San Pedro
878,9,Petlalcingo
879,13,Emiliano Zapata
880,7,Villa Purificación
881,10,Yaxcabá
882,5,Guadalupe y Calvo
883,8,San Bartolo Coyotepec
884,27,Capulhuac
885,4,Tamalín
886,8,San José Independencia
887,19,Zacualtipán de Ángeles
888,3,Matehuala
889,8,San José Tenango
890,13,Natívitas
891,8,Santa Ana Ateixtlahuaca
892,9,Ocoyucan
893,30,Jojutla
894,10,Hoctún
895,5,Huejotitán
896,11,Huaniqueo
897,1,Candela
898,9,Tepetzintla
899,22,Zapotitlán Tablas
900,22,Cualác
901,12,Iztapalapa
902,17,Choix
903,8,Mesones Hidalgo
904,24,San Francisco del Rincón
905,9,Tlaxco
906,10,Dzemul
907,8,Santa María Camotlán
908,1,Piedras Negras
909,8,San Lorenzo Victoria
910,8,San Miguel Yotao
911,11,Cuitzeo
912,19,Mixquiahuala de Juárez
913,27,Lerma
914,16,Santiago Ixcuintla
915,8,Santiago Yolomécatl
916,28,Tabasco
917,27,Ixtapaluca
918,9,San Martín Totoltepec
919,4,Uxpanapa
920,4,Naranjal
921,13,Zacatelco
922,8,San Juan Ñumí
923,27,Jilotepec
924,10,Espita
925,2,Amatenango del Valle
926,19,Tula de Allende
927,8,Santa Marí Temaxcalapa
928,9,Soltepec
929,8,Santa María del Rosario
930,7,Acatlán de Juárez
931,7,Tuxcueca
932,28,Cuauhtémoc
933,23,Hopelchén
934,5,Aquiles Serdán
935,8,San Mateo Nejápam
936,10,Peto
937,3,Alaquines
938,8,San Bartolomé Yucuañe
939,8,La Compañía
940,11,Coahuayana
941,22,Xalpatláhuac
942,11,Vista Hermosa
943,27,Temoaya
944,9,Eloxochitlán
945,19,Tepeapulco
946,22,Petatlán
947,8,San Pedro el Alto
948,8,Mariscala de Juárez
949,24,Santa Cruz de Juventino Rosas
950,8,Heroica Ciudad de Huajuapan de León
951,27,Teoloyucan
952,29,Nacozari de García
953,8,San Pedro Jocotipac
954,19,Tlaxcoapan
955,4,Coetzala
956,2,Amatán
957,31,Mina
958,30,Temoac
959,24,Guanajuato
960,8,San Antonio Huitepec
961,22,Zitlala
962,9,Atlequizayan
963,2,Marqués de Comillas
964,14,Corregidora
965,8,Santa Catarina Juquila
966,8,San Miguel Coatlán
967,8,Santa Catarina Cuixtla
968,27,Ixtapan de la Sal
969,22,Cuetzala del Progreso
970,8,San Miguel Suchixtepec
971,9,Amixtlán
972,7,Chimaltitán
973,30,Tlalnepantla
974,27,Melchor Ocampo
975,19,Ajacuba
976,8,San Miguel Ahuehuetitlán
977,20,Minatitlán
978,9,San Salvador Huixcolotla
979,18,José María Morelos
980,9,Tlaola
981,8,Teococuilco de Marcos Pérez
982,8,Coatecas Altas
983,9,Juan N. Méndez
984,9,Mixtla
985,9,Mazapiltepec de Juárez
986,27,San Simón de Guerrero
987,7,Cuquío
988,11,Villamar
989,4,Jáltipan
990,8,San Juan Yaeé
991,3,Vanegas
992,8,San Francisco Sola
993,8,San Miguel del Puerto
994,7,Magdalena
995,27,Jaltenco
996,7,Tequila
997,12,Benito Juárez
998,3,Tamuín
999,8,San Lucas Quiaviní
1000,4,Cuitláhuac
1001,8,Santiago Laollaga
1002,9,Tepeyahualco de Cuauhtémoc
1003,22,Igualapa
1004,11,Maravatío
1005,6,Tlahualilo
1006,14,Amealco de Bonfil
1007,16,Rosamorada
1008,21,Río Bravo
1009,8,San Juan Lachao
1010,27,Tezoyuca
1011,8,Magdalena Tlacotepec
1012,10,Sucilá
1013,5,Uruachi
1014,4,Chiconamel
1015,8,San Agustín Loxicha
1016,11,Zináparo
1017,11,Puruándiro
1018,8,La Reforma
1019,8,Santiago Llano Grande
1020,9,Lafragua
1021,9,Chignahuapan
1022,1,Villa Unión
1023,4,Chinampa de Gorostiza
1024,8,Santa Ana del Valle
1025,27,Jilotzingo
1026,8,San Miguel Tenango
1027,5,La Cruz
1028,10,Calotmul
1029,8,Pinotepa de Don Luis
1030,9,Huauchinango
1031,31,Anáhuac
1032,6,General Simón Bolívar
1033,9,Tetela de Ocampo
1034,9,San Nicolás Buenos Aires
1035,9,Caxhuacan
1036,4,Rafael Delgado
1037,1,Lamadrid
1038,2,Chicoasén
1039,13,Sanctórum de Lázaro Cárdenas
1040,20,Comala
1041,20,Coquimatlán
1042,9,Nicolás Bravo
1043,8,San Agustín Atenango
1044,2,Benemérito de las Américas
